Area,Median earning,Population_16+,Earning range,Count,Population_18+,BA/BS_18+
"Lenawee County, Michigan",51763,30937,"35,000 - 49,999",7839,77672.0,16002.0
"Livingston County, Michigan",72950,76372,"35,000 - 49,999",11320,157434.0,57738.0
"Macomb County, Michigan",60084,319060,"35,000 - 49,999",63658,695937.0,181417.0
"Marquette County, Michigan",50586,20612,"35,000 - 49,999",4754,55530.0,18117.0
"Midland County, Michigan",61819,27369,"35,000 - 49,999",4547,66654.0,21176.0
"Monroe County, Michigan",60658,51936,"35,000 - 49,999",10825,123171.0,28881.0
"Montcalm County, Michigan",50520,22694,"35,000 - 49,999",5273,53983.0,8075.0
"Muskegon County, Michigan",50370,55792,"35,000 - 49,999",13139,137089.0,27488.0
"Oakland County, Michigan",74571,497545,"35,000 - 49,999",66687,1015768.0,488849.0
"Ottawa County, Michigan",60395,105247,"35,000 - 49,999",19079,234629.0,81929.0
"Saginaw County, Michigan",50190,58445,"35,000 - 49,999",12656,148106.0,30475.0
"St. Clair County, Michigan",54251,54953,"35,000 - 49,999",11525,127824.0,24015.0
"Shiawassee County, Michigan",50285,23685,"35,000 - 49,999",6252,54173.0,9893.0
"Van Buren County, Michigan",52021,24855,"35,000 - 49,999",4583,58539.0,14404.0
"Washtenaw County, Michigan",71750,125521,"35,000 - 49,999",19419,299927.0,155439.0
"Wayne County, Michigan",53874,548488,"35,000 - 49,999",119200,1339689.0,341849.0
"Anoka County, Minnesota",64906,151176,"35,000 - 49,999",26117,284449.0,90723.0
"Blue Earth County, Minnesota",57629,22563,"35,000 - 49,999",3979,56283.0,16334.0
"Carver County, Minnesota",81198,47040,"35,000 - 49,999",4971,83547.0,41434.0
"Clay County, Minnesota",61041,23645,"35,000 - 49,999",4944,50216.0,17897.0
"Crow Wing County, Minnesota",60325,23175,"35,000 - 49,999",4022,54545.0,15622.0
"Dakota County, Minnesota",70540,179540,"35,000 - 49,999",29992,341121.0,145435.0
"Hennepin County, Minnesota",75641,498459,"35,000 - 49,999",72696,989486.0,512194.0
"Olmsted County, Minnesota",69165,62570,"35,000 - 49,999",10522,125842.0,59061.0
"Ramsey County, Minnesota",62134,195778,"35,000 - 49,999",36962,413891.0,181572.0
"Rice County, Minnesota",62278,21686,"35,000 - 49,999",3967,53904.0,12686.0
"St. Louis County, Minnesota",56983,65158,"35,000 - 49,999",13933,163794.0,50591.0
"Scott County, Minnesota",72115,60970,"35,000 - 49,999",8334,116074.0,43682.0
"Sherburne County, Minnesota",65674,38883,"35,000 - 49,999",6241,75887.0,21546.0
"Stearns County, Minnesota",52156,57132,"35,000 - 49,999",14512,123261.0,33967.0
"Washington County, Minnesota",78357,106854,"35,000 - 49,999",12429,212816.0,102917.0
"Wright County, Minnesota",67141,63340,"35,000 - 49,999",10812,110470.0,35098.0
"DeSoto County, Mississippi",54716,76688,"35,000 - 49,999",13067,145706.0,39850.0
"Forrest County, Mississippi",41267,,"35,000 - 49,999",,60331.0,18325.0
"Harrison County, Mississippi",46780,70823,"35,000 - 49,999",16640,161588.0,42173.0
"Hinds County, Mississippi",42060,76560,"35,000 - 49,999",16888,165013.0,45456.0
"Jackson County, Mississippi",52383,55074,"35,000 - 49,999",11069,113273.0,28835.0
"Jones County, Mississippi",43325,,"35,000 - 49,999",,50404.0,9615.0
"Lamar County, Mississippi",50688,,"35,000 - 49,999",,51085.0,17160.0
"Lauderdale County, Mississippi",41694,,"35,000 - 49,999",,54144.0,10796.0
"Lee County, Mississippi",46676,29195,"35,000 - 49,999",6496,62356.0,17215.0
"Madison County, Mississippi",54636,44945,"35,000 - 49,999",9245,85635.0,39439.0
"Rankin County, Mississippi",51404,57009,"35,000 - 49,999",12032,124962.0,37868.0
"Boone County, Missouri",55741,69540,"35,000 - 49,999",15980,151483.0,64542.0
"Buchanan County, Missouri",46872,28812,"35,000 - 49,999",5979,64100.0,11879.0
"Cape Girardeau County, Missouri",50462,30749,"35,000 - 49,999",6777,64940.0,18244.0
"Cass County, Missouri",56910,41667,"35,000 - 49,999",8655,85862.0,25082.0
"Christian County, Missouri",54794,32233,"35,000 - 49,999",8610,70380.0,21934.0
"Clay County, Missouri",61672,107858,"35,000 - 49,999",20959,198767.0,71505.0
"Cole County, Missouri",52384,31572,"35,000 - 49,999",8023,60806.0,22938.0
"Franklin County, Missouri",50649,40673,"35,000 - 49,999",11915,83498.0,21855.0
"Greene County, Missouri",48455,110881,"35,000 - 49,999",29468,241458.0,67026.0
"Jackson County, Missouri",55084,280304,"35,000 - 49,999",61335,553200.0,183830.0
"Jasper County, Missouri",44530,42856,"35,000 - 49,999",11915,94515.0,22016.0
"Jefferson County, Missouri",60304,89773,"35,000 - 49,999",19024,179739.0,43414.0
"Platte County, Missouri",68626,44123,"35,000 - 49,999",7213,86288.0,40930.0
"St. Charles County, Missouri",70091,168399,"35,000 - 49,999",24378,323866.0,126852.0
"St. Francois County, Missouri",44770,19530,"35,000 - 49,999",5231,53195.0,8334.0
"St. Louis County, Missouri",65344,370418,"35,000 - 49,999",65579,771816.0,352191.0
"St. Louis city, Missouri",57918,113218,"35,000 - 49,999",24580,230938.0,101485.0
"Cascade County, Montana",51978,29902,"35,000 - 49,999",5102,66138.0,18640.0
"Flathead County, Montana",51823,39391,"35,000 - 49,999",8513,89228.0,30916.0
"Gallatin County, Montana",64110,49095,"35,000 - 49,999",7279,103253.0,45651.0
"Lewis and Clark County, Montana",61413,24109,"35,000 - 49,999",4988,59203.0,21379.0
"Missoula County, Montana",50628,47355,"35,000 - 49,999",11300,100373.0,42064.0
"Yellowstone County, Montana",56312,61807,"35,000 - 49,999",12493,132004.0,38599.0
"Douglas County, Nebraska",60021,233288,"35,000 - 49,999",45500,441789.0,179507.0
"Lancaster County, Nebraska",55393,120749,"35,000 - 49,999",23993,254107.0,95979.0
"Sarpy County, Nebraska",62182,85390,"35,000 - 49,999",16553,148080.0,55405.0
"Clark County, Nevada",51471,858077,"35,000 - 49,999",193907,1824661.0,486349.0
"Washoe County, Nevada",59048,183244,"35,000 - 49,999",37690,396438.0,130825.0
"Belknap County, New Hampshire",60665,24237,"35,000 - 49,999",3256,53857.0,18101.0
"Cheshire County, New Hampshire",57878,30352,"35,000 - 49,999",6715,64293.0,22373.0
"Grafton County, New Hampshire",61594,32470,"35,000 - 49,999",6553,78840.0,33613.0
"Hillsborough County, New Hampshire",70852,182999,"35,000 - 49,999",28946,344718.0,138119.0
"Merrimack County, New Hampshire",61421,60615,"35,000 - 49,999",10644,128931.0,48693.0
"Rockingham County, New Hampshire",75863,126539,"35,000 - 49,999",16778,262094.0,113147.0
"Strafford County, New Hampshire",64317,53434,"35,000 - 49,999",9020,110051.0,34628.0
"Atlantic County, New Jersey",57009,92207,"35,000 - 49,999",18366,218632.0,68222.0
"Bergen County, New Jersey",80825,373057,"35,000 - 49,999",44640,759496.0,385650.0
"Burlington County, New Jersey",72773,181292,"35,000 - 49,999",26365,373428.0,150646.0
"Camden County, New Jersey",62326,191245,"35,000 - 49,999",35074,407618.0,138561.0
"Cape May County, New Jersey",76290,30394,"35,000 - 49,999",5163,79009.0,30856.0
"Cumberland County, New Jersey",42787,50734,"35,000 - 49,999",14446,115390.0,19566.0
"Essex County, New Jersey",66986,310655,"35,000 - 49,999",50264,652302.0,243329.0
"Gloucester County, New Jersey",70155,111929,"35,000 - 49,999",17842,243230.0,81181.0
"Hudson County, New Jersey",72178,304576,"35,000 - 49,999",43224,568392.0,270778.0
"Hunterdon County, New Jersey",94148,51969,"35,000 - 49,999",5142,105406.0,58674.0
"Mercer County, New Jersey",71633,138556,"35,000 - 49,999",23553,298168.0,122345.0
"Middlesex County, New Jersey",75279,325101,"35,000 - 49,999",44756,680117.0,290707.0
"Monmouth County, New Jersey",87198,237279,"35,000 - 49,999",27308,510014.0,247905.0
"Morris County, New Jersey",91705,212710,"35,000 - 49,999",19384,409153.0,222831.0
"Ocean County, New Jersey",66671,195850,"35,000 - 49,999",29336,494303.0,161730.0
"Passaic County, New Jersey",56007,179879,"35,000 - 49,999",36488,392911.0,113903.0
"Salem County, New Jersey",61141,21102,"35,000 - 49,999",4300,50866.0,13274.0
"Somerset County, New Jersey",89476,149975,"35,000 - 49,999",16752,276032.0,152245.0
"Sussex County, New Jersey",72524,59296,"35,000 - 49,999",8467,118064.0,45550.0
"Union County, New Jersey",65908,229225,"35,000 - 49,999",39394,439284.0,157086.0
"Warren County, New Jersey",67370,46023,"35,000 - 49,999",9170,89861.0,31630.0
"Bernalillo County, New Mexico",54367,239668,"35,000 - 49,999",46128,538537.0,190114.0
"Doña Ana County, New Mexico",46654,69407,"35,000 - 49,999",12156,174487.0,50230.0
"Lea County, New Mexico",52121,,"35,000 - 49,999",,51319.0,7176.0
"McKinley County, New Mexico",37936,16752,"35,000 - 49,999",3147,50558.0,5254.0
"Otero County, New Mexico",39844,,"35,000 - 49,999",,54075.0,10409.0
"Sandoval County, New Mexico",61419,50584,"35,000 - 49,999",7353,123348.0,38904.0
"San Juan County, New Mexico",45157,36649,"35,000 - 49,999",8080,90594.0,16864.0
"Santa Fe County, New Mexico",56227,53014,"35,000 - 49,999",9098,131854.0,56597.0
"Valencia County, New Mexico",42131,25661,"35,000 - 49,999",6415,61197.0,11125.0
"Albany County, New York",65489,117119,"35,000 - 49,999",19073,260123.0,107799.0
"Bronx County, New York",48456,388510,"35,000 - 49,999",89023,1031701.0,226985.0
"Broome County, New York",55795,58773,"35,000 - 49,999",11231,158886.0,46214.0
"Cattaraugus County, New York",49405,21592,"35,000 - 49,999",5420,59011.0,11808.0
"Cayuga County, New York",52849,26123,"35,000 - 49,999",5778,60381.0,14729.0
"Chautauqua County, New York",51413,38130,"35,000 - 49,999",9086,99354.0,22014.0
"Chemung County, New York",54715,25593,"35,000 - 49,999",5122,64490.0,16794.0
"Clinton County, New York",53843,26759,"35,000 - 49,999",6511,63940.0,16098.0
"Dutchess County, New York",68784,108442,"35,000 - 49,999",17832,243157.0,90733.0
"Erie County, New York",60497,331296,"35,000 - 49,999",65674,756716.0,269120.0
"Jefferson County, New York",49008,42743,"35,000 - 49,999",9590,87280.0,20460.0
"Kings County, New York",70248,888964,"35,000 - 49,999",148436,2004108.0,832429.0
"Madison County, New York",58238,22583,"35,000 - 49,999",4961,54637.0,15087.0
"Monroe County, New York",61420,262144,"35,000 - 49,999",51417,597745.0,229878.0
"Nassau County, New York",85500,504689,"35,000 - 49,999",60431,1086193.0,502424.0
"New York County, New York",102097,655775,"35,000 - 49,999",50573,1381291.0,860960.0
"Niagara County, New York",54691,74620,"35,000 - 49,999",19734,168091.0,42636.0
"Oneida County, New York",54543,73844,"35,000 - 49,999",16048,179090.0,44903.0
"Onondaga County, New York",61856,164534,"35,000 - 49,999",30530,370637.0,140618.0
"Ontario County, New York",61434,38053,"35,000 - 49,999",8533,91683.0,34033.0
"Orange County, New York",63992,138841,"35,000 - 49,999",22184,303245.0,90816.0
"Oswego County, New York",54789,39384,"35,000 - 49,999",8490,94688.0,18577.0
"Putnam County, New York",86306,37607,"35,000 - 49,999",3967,79400.0,36978.0
"Queens County, New York",60705,828140,"35,000 - 49,999",156661,1821344.0,637425.0
"Rensselaer County, New York",70433,57370,"35,000 - 49,999",8462,129327.0,44893.0
"Richmond County, New York",71576,171514,"35,000 - 49,999",24412,385625.0,133087.0
"Rockland County, New York",71377,102700,"35,000 - 49,999",16639,238797.0,91363.0
"St. Lawrence County, New York",52427,29521,"35,000 - 49,999",6761,86080.0,20725.0
"Saratoga County, New York",69380,90826,"35,000 - 49,999",14636,193627.0,81172.0
"Schenectady County, New York",64700,55627,"35,000 - 49,999",8339,125739.0,42612.0
"Steuben County, New York",55638,29759,"35,000 - 49,999",6502,72825.0,17596.0
"Suffolk County, New York",73880,571753,"35,000 - 49,999",84737,1210386.0,459521.0
"Sullivan County, New York",55401,27143,"35,000 - 49,999",6437,62688.0,17767.0
"Tompkins County, New York",60491,32136,"35,000 - 49,999",7945,89603.0,43032.0
"Ulster County, New York",64380,59448,"35,000 - 49,999",10236,151597.0,55355.0
"Warren County, New York",59382,25402,"35,000 - 49,999",4478,54362.0,19623.0
"Wayne County, New York",57679,31963,"35,000 - 49,999",6414,72243.0,18273.0
"Westchester County, New York",84565,367416,"35,000 - 49,999",38897,782937.0,398013.0
"Alamance County, North Carolina",50415,66376,"35,000 - 49,999",16198,139851.0,37546.0
"Brunswick County, North Carolina",52529,45032,"35,000 - 49,999",9827,138339.0,46125.0
"Buncombe County, North Carolina",50743,92292,"35,000 - 49,999",22024,227498.0,101925.0
"Burke County, North Carolina",42016,30221,"35,000 - 49,999",8633,72200.0,13742.0
"Cabarrus County, North Carolina",56282,98601,"35,000 - 49,999",21885,180343.0,62871.0
"Caldwell County, North Carolina",46215,29345,"35,000 - 49,999",7716,65056.0,11181.0
"Carteret County, North Carolina",58951,24890,"35,000 - 49,999",5464,59655.0,21031.0
"Catawba County, North Carolina",47196,63017,"35,000 - 49,999",15181,129226.0,31316.0
"Chatham County, North Carolina",71796,,"35,000 - 49,999",,66458.0,30985.0
"Cleveland County, North Carolina",50954,35656,"35,000 - 49,999",8611,78870.0,20485.0
"Craven County, North Carolina",43889,34170,"35,000 - 49,999",7796,80634.0,18530.0
"Cumberland County, North Carolina",44111,126242,"35,000 - 49,999",28100,252646.0,63624.0
"Davidson County, North Carolina",50336,61649,"35,000 - 49,999",13993,137525.0,28988.0
"Durham County, North Carolina",62274,139046,"35,000 - 49,999",24229,271771.0,144683.0
"Forsyth County, North Carolina",50871,137079,"35,000 - 49,999",30931,304928.0,116622.0
"Franklin County, North Carolina",52321,,"35,000 - 49,999",,60490.0,14508.0
"Gaston County, North Carolina",54001,89295,"35,000 - 49,999",19870,184262.0,49026.0
"Guilford County, North Carolina",50274,202235,"35,000 - 49,999",47819,430053.0,144261.0
"Harnett County, North Carolina",56152,44795,"35,000 - 49,999",9114,105762.0,27762.0
"Henderson County, North Carolina",49098,39111,"35,000 - 49,999",8669,97503.0,34633.0
"Iredell County, North Carolina",54800,78152,"35,000 - 49,999",15209,155565.0,51563.0
"Johnston County, North Carolina",55666,91904,"35,000 - 49,999",19476,182580.0,52813.0
"Lee County, North Carolina",42056,,"35,000 - 49,999",,51495.0,10937.0
"Lincoln County, North Carolina",52330,,"35,000 - 49,999",,76150.0,21208.0
"Mecklenburg County, North Carolina",65020,502835,"35,000 - 49,999",84828,901579.0,435194.0
"Moore County, North Carolina",65835,33040,"35,000 - 49,999",4956,84035.0,35312.0
"Nash County, North Carolina",51348,36574,"35,000 - 49,999",7813,75194.0,16200.0
"New Hanover County, North Carolina",57465,85633,"35,000 - 49,999",16988,196745.0,85701.0
"Onslow County, North Carolina",41281,89587,"35,000 - 49,999",18418,160936.0,29755.0
"Orange County, North Carolina",65134,52308,"35,000 - 49,999",8135,123622.0,64650.0
"Pender County, North Carolina",54248,,"35,000 - 49,999",,53117.0,16887.0
"Pitt County, North Carolina",51505,57779,"35,000 - 49,999",13453,137852.0,41394.0
"Randolph County, North Carolina",49735,50384,"35,000 - 49,999",12955,114898.0,21060.0
"Robeson County, North Carolina",41076,34118,"35,000 - 49,999",8067,86888.0,11075.0
"Rockingham County, North Carolina",49270,31532,"35,000 - 49,999",7899,73957.0,13036.0
"Rowan County, North Carolina",50649,53775,"35,000 - 49,999",13851,118863.0,27343.0
"Rutherford County, North Carolina",43640,20647,"35,000 - 49,999",5520,52471.0,10499.0
"Stanly County, North Carolina",51679,23085,"35,000 - 49,999",4987,51689.0,9519.0
"Surry County, North Carolina",44271,23058,"35,000 - 49,999",6535,56602.0,11691.0
"Union County, North Carolina",62081,92679,"35,000 - 49,999",16727,191627.0,71836.0
"Wake County, North Carolina",73780,495316,"35,000 - 49,999",77477,919576.0,502378.0
"Wayne County, North Carolina",44847,37053,"35,000 - 49,999",9383,90867.0,18190.0
"Wilkes County, North Carolina",44930,,"35,000 - 49,999",,52999.0,9106.0
"Wilson County, North Carolina",46553,,"35,000 - 49,999",,61019.0,11949.0
"Burleigh County, North Dakota",62985,40131,"35,000 - 49,999",7002,77088.0,28745.0
"Cass County, North Dakota",56522,82197,"35,000 - 49,999",17237,152956.0,58218.0
"Grand Forks County, North Dakota",56112,26244,"35,000 - 49,999",5926,57940.0,17260.0
"Ward County, North Dakota",55167,28148,"35,000 - 49,999",5124,51868.0,14602.0
"Allen County, Ohio",52028,34955,"35,000 - 49,999",8235,77232.0,14740.0
"Ashtabula County, Ohio",50294,30927,"35,000 - 49,999",6652,75762.0,12935.0
"Belmont County, Ohio",46639,21665,"35,000 - 49,999",6100,52815.0,11814.0
"Butler County, Ohio",57115,140673,"35,000 - 49,999",27772,302537.0,86615.0
"Clark County, Ohio",52590,41628,"35,000 - 49,999",8807,104221.0,17839.0
"Clermont County, Ohio",61345,79969,"35,000 - 49,999",17001,165741.0,49872.0
"Columbiana County, Ohio",51770,32454,"35,000 - 49,999",6221,80390.0,11483.0
"Cuyahoga County, Ohio",58183,434397,"35,000 - 49,999",85087,982384.0,347610.0
"Delaware County, Ohio",87876,90148,"35,000 - 49,999",9877,175119.0,94316.0
"Erie County, Ohio",52891,,"35,000 - 49,999",,59703.0,15694.0
"Fairfield County, Ohio",62123,59983,"35,000 - 49,999",11289,125933.0,36215.0
"Franklin County, Ohio",58889,521308,"35,000 - 49,999",102560,1019378.0,410797.0
"Geauga County, Ohio",64678,32524,"35,000 - 49,999",5662,74504.0,25580.0
"Greene County, Ohio",68234,60029,"35,000 - 49,999",11846,135070.0,51697.0
"Hamilton County, Ohio",60954,305625,"35,000 - 49,999",56264,638232.0,260903.0
"Hancock County, Ohio",59635,,"35,000 - 49,999",,59448.0,19032.0
"Lake County, Ohio",60735,90429,"35,000 - 49,999",17292,187626.0,59136.0
"Licking County, Ohio",57763,67182,"35,000 - 49,999",13141,141692.0,35477.0
"Lorain County, Ohio",59393,114241,"35,000 - 49,999",22824,250363.0,69584.0
"Lucas County, Ohio",52458,145708,"35,000 - 49,999",31339,329146.0,91960.0
"Mahoning County, Ohio",51354,67956,"35,000 - 49,999",15235,179979.0,44070.0
"Marion County, Ohio",50261,,"35,000 - 49,999",,51089.0,5968.0
"Medina County, Ohio",66742,65885,"35,000 - 49,999",10546,145188.0,48368.0
"Miami County, Ohio",57315,39096,"35,000 - 49,999",9052,85927.0,22607.0
"Montgomery County, Ohio",55252,182358,"35,000 - 49,999",38663,415838.0,125134.0
"Muskingum County, Ohio",43116,27386,"35,000 - 49,999",6691,66765.0,12220.0
"Portage County, Ohio",55419,58915,"35,000 - 49,999",13293,134132.0,38077.0
"Richland County, Ohio",46056,38585,"35,000 - 49,999",10006,98131.0,17625.0
"Ross County, Ohio",51728,,"35,000 - 49,999",,60093.0,10961.0
"Scioto County, Ohio",50535,22298,"35,000 - 49,999",4441,56783.0,9237.0
"Stark County, Ohio",50719,128192,"35,000 - 49,999",28293,292738.0,72317.0
"Summit County, Ohio",57521,195885,"35,000 - 49,999",38206,425767.0,151954.0
"Trumbull County, Ohio",49406,63495,"35,000 - 49,999",15123,159375.0,31871.0
"Tuscarawas County, Ohio",50359,29331,"35,000 - 49,999",6711,70740.0,11950.0
"Union County, Ohio",71372,,"35,000 - 49,999",,53129.0,18675.0
"Warren County, Ohio",72271,102343,"35,000 - 49,999",15313,192739.0,86169.0
"Wayne County, Ohio",52512,38428,"35,000 - 49,999",9236,88786.0,20857.0
"Wood County, Ohio",58518,48820,"35,000 - 49,999",9130,106069.0,34310.0
"Canadian County, Oklahoma",55180,67698,"35,000 - 49,999",14243,131130.0,39416.0
"Cleveland County, Oklahoma",51822,106331,"35,000 - 49,999",23047,240814.0,72248.0
"Comanche County, Oklahoma",45634,41129,"35,000 - 49,999",9636,92722.0,21882.0
"Creek County, Oklahoma",46764,25506,"35,000 - 49,999",5545,56799.0,9528.0
"Muskogee County, Oklahoma",45080,21001,"35,000 - 49,999",5564,50492.0,7812.0
"Oklahoma County, Oklahoma",51820,294748,"35,000 - 49,999",64631,605015.0,212006.0
"Payne County, Oklahoma",47364,23509,"35,000 - 49,999",4639,67924.0,22454.0
"Pottawatomie County, Oklahoma",41395,23952,"35,000 - 49,999",5813,56692.0,10436.0
"Rogers County, Oklahoma",51703,35472,"35,000 - 49,999",8048,77057.0,19209.0
"Tulsa County, Oklahoma",50987,245659,"35,000 - 49,999",57739,513126.0,162953.0
"Wagoner County, Oklahoma",56005,32736,"35,000 - 49,999",7130,68339.0,16831.0
"Benton County, Oregon",62303,28039,"35,000 - 49,999",3932,82952.0,37539.0
"Clackamas County, Oregon",69958,153300,"35,000 - 49,999",22797,335716.0,127231.0
"Deschutes County, Oregon",66328,73175,"35,000 - 49,999",14036,169956.0,75601.0
"Douglas County, Oregon",54822,30844,"35,000 - 49,999",8782,90808.0,16268.0
"Jackson County, Oregon",54340,64827,"35,000 - 49,999",17050,176208.0,48889.0
"Josephine County, Oregon",59688,22707,"35,000 - 49,999",4482,71263.0,14631.0
"Klamath County, Oregon",42457,,"35,000 - 49,999",,54517.0,10746.0
"Lane County, Oregon",52355,119302,"35,000 - 49,999",29108,315448.0,94169.0
"Linn County, Oregon",55374,44649,"35,000 - 49,999",9332,102613.0,22064.0
"Marion County, Oregon",52828,113877,"35,000 - 49,999",25721,266110.0,68092.0
"Multnomah County, Oregon",68846,318602,"35,000 - 49,999",55100,653270.0,310155.0
"Polk County, Oregon",61206,27342,"35,000 - 49,999",5760,70999.0,18965.0
"Umatilla County, Oregon",47836,,"35,000 - 49,999",,60687.0,10523.0
"Washington County, Oregon",73104,238741,"35,000 - 49,999",35926,472644.0,218978.0
"Yamhill County, Oregon",65931,33098,"35,000 - 49,999",4835,86581.0,25439.0
"Adams County, Pennsylvania",57390,38503,"35,000 - 49,999",8953,86374.0,18859.0
"Allegheny County, Pennsylvania",63478,469317,"35,000 - 49,999",89350,998667.0,438011.0
"Armstrong County, Pennsylvania",51222,22050,"35,000 - 49,999",5711,52022.0,10191.0
"Beaver County, Pennsylvania",60397,59609,"35,000 - 49,999",12641,133743.0,38354.0
"Berks County, Pennsylvania",56104,157283,"35,000 - 49,999",31206,338643.0,84253.0
"Blair County, Pennsylvania",50012,41116,"35,000 - 49,999",10362,96485.0,20302.0
"Bucks County, Pennsylvania",75565,251279,"35,000 - 49,999",32355,518542.0,216136.0
"Butler County, Pennsylvania",62619,72669,"35,000 - 49,999",11858,160401.0,55868.0
"Cambria County, Pennsylvania",50990,43130,"35,000 - 49,999",9935,105614.0,23811.0
"Carbon County, Pennsylvania",59619,22398,"35,000 - 49,999",5106,53291.0,9303.0
"Centre County, Pennsylvania",56169,47521,"35,000 - 49,999",9785,135370.0,48831.0
"Chester County, Pennsylvania",85286,216657,"35,000 - 49,999",23984,430508.0,230573.0
"Clearfield County, Pennsylvania",46862,26057,"35,000 - 49,999",7701,62897.0,12937.0
"Columbia County, Pennsylvania",50961,23295,"35,000 - 49,999",5414,54398.0,13084.0
"Crawford County, Pennsylvania",47303,27604,"35,000 - 49,999",6589,65157.0,14690.0
"Cumberland County, Pennsylvania",61566,97952,"35,000 - 49,999",20474,215666.0,81770.0
"Dauphin County, Pennsylvania",57208,108547,"35,000 - 49,999",24063,224914.0,77043.0
"Delaware County, Pennsylvania",64962,209137,"35,000 - 49,999",35150,450216.0,175840.0
"Erie County, Pennsylvania",50698,87313,"35,000 - 49,999",21474,212750.0,57264.0
"Fayette County, Pennsylvania",50553,40773,"35,000 - 49,999",8902,100455.0,18382.0
"Franklin County, Pennsylvania",56393,56306,"35,000 - 49,999",12073,123755.0,29265.0
"Indiana County, Pennsylvania",46493,24815,"35,000 - 49,999",5746,67599.0,15283.0
"Lackawanna County, Pennsylvania",51204,72158,"35,000 - 49,999",17645,172510.0,47036.0
"Lancaster County, Pennsylvania",56317,195079,"35,000 - 49,999",42304,430624.0,126429.0
"Lawrence County, Pennsylvania",52769,28213,"35,000 - 49,999",6664,67837.0,15767.0
"Lebanon County, Pennsylvania",51978,55091,"35,000 - 49,999",12736,112284.0,27307.0
"Lehigh County, Pennsylvania",54934,137858,"35,000 - 49,999",28108,294024.0,92990.0
"Luzerne County, Pennsylvania",51440,114784,"35,000 - 49,999",27617,260873.0,59259.0
"Lycoming County, Pennsylvania",55780,38195,"35,000 - 49,999",8741,90012.0,22480.0
"Mercer County, Pennsylvania",52742,34593,"35,000 - 49,999",7134,87974.0,19953.0
"Monroe County, Pennsylvania",54939,56711,"35,000 - 49,999",11134,134908.0,33937.0
"Montgomery County, Pennsylvania",76330,338889,"35,000 - 49,999",48858,685548.0,340437.0
"Northampton County, Pennsylvania",61942,114340,"35,000 - 49,999",22248,258653.0,82418.0
"Northumberland County, Pennsylvania",50146,29716,"35,000 - 49,999",7417,72377.0,13044.0
"Philadelphia County, Pennsylvania",58650,560337,"35,000 - 49,999",107898,1226231.0,406895.0
"Schuylkill County, Pennsylvania",51698,49478,"35,000 - 49,999",11962,115512.0,22118.0
"Somerset County, Pennsylvania",46049,23333,"35,000 - 49,999",5573,59164.0,9006.0
"Washington County, Pennsylvania",59480,77404,"35,000 - 49,999",16916,169189.0,51738.0
"Westmoreland County, Pennsylvania",57954,125312,"35,000 - 49,999",25268,287823.0,88234.0
"York County, Pennsylvania",57506,175753,"35,000 - 49,999",36863,363702.0,99030.0
"Kent County, Rhode Island",72299,65971,"35,000 - 49,999",8808,140919.0,52403.0
"Newport County, Rhode Island",69571,29829,"35,000 - 49,999",4648,70936.0,35358.0
"Providence County, Rhode Island",61597,239364,"35,000 - 49,999",45234,528363.0,164625.0
"Washington County, Rhode Island",72239,44787,"35,000 - 49,999",5718,111024.0,52412.0
"Aiken County, South Carolina",53218,58734,"35,000 - 49,999",11055,139075.0,43786.0
"Anderson County, South Carolina",50763,78688,"35,000 - 49,999",17006,165248.0,42014.0
"Beaufort County, South Carolina",52584,65812,"35,000 - 49,999",14368,165713.0,73975.0
"Berkeley County, South Carolina",54284,100300,"35,000 - 49,999",20644,195492.0,58916.0
"Charleston County, South Carolina",61882,169328,"35,000 - 49,999",29007,342700.0,166391.0
"Dorchester County, South Carolina",55015,64425,"35,000 - 49,999",12474,128834.0,37397.0
"Florence County, South Carolina",46961,45530,"35,000 - 49,999",10619,105615.0,22488.0
"Georgetown County, South Carolina",49174,,"35,000 - 49,999",,54875.0,16978.0
"Greenville County, South Carolina",59896,206731,"35,000 - 49,999",38044,430900.0,170503.0
"Greenwood County, South Carolina",46427,25414,"35,000 - 49,999",7687,53981.0,13432.0
"Horry County, South Carolina",50102,117678,"35,000 - 49,999",29400,331056.0,89292.0
"Kershaw County, South Carolina",50553,24365,"35,000 - 49,999",5159,53691.0,12726.0
"Lancaster County, South Carolina",60103,41926,"35,000 - 49,999",7822,84865.0,27095.0
"Laurens County, South Carolina",46997,24312,"35,000 - 49,999",8101,53879.0,7908.0
"Lexington County, South Carolina",55838,113405,"35,000 - 49,999",25424,238946.0,75240.0
"Oconee County, South Carolina",51937,23864,"35,000 - 49,999",4253,65766.0,18038.0
"Orangeburg County, South Carolina",44606,,"35,000 - 49,999",,65342.0,10330.0
"Pickens County, South Carolina",48813,44185,"35,000 - 49,999",9130,110690.0,26570.0
"Richland County, South Carolina",50150,150377,"35,000 - 49,999",31513,334017.0,121966.0
"Spartanburg County, South Carolina",50153,126272,"35,000 - 49,999",31192,273460.0,65445.0
"Sumter County, South Carolina",46627,35035,"35,000 - 49,999",7207,79512.0,14451.0
"York County, South Carolina",60587,116233,"35,000 - 49,999",25569,228347.0,83485.0
"Lincoln County, South Dakota",61767,,"35,000 - 49,999",,54435.0,23530.0
"Minnehaha County, South Dakota",56979,87374,"35,000 - 49,999",16890,154695.0,53947.0
"Pennington County, South Dakota",52923,40397,"35,000 - 49,999",9180,91186.0,30610.0
