Area,Median earning,Population_16+,Earning range,Count,Population_18+,BA/BS_18+
"Cook County, Illinois",66078,1927755,"10,000 - 14,999",29106,4031646.0,1657778.0
"DeKalb County, Illinois",61159,34298,"10,000 - 14,999",1473,78920.0,21495.0
"DuPage County, Illinois",75807,362278,"10,000 - 14,999",4683,719596.0,352495.0
"Kane County, Illinois",62252,200461,"10,000 - 14,999",3615,394416.0,144128.0
"Kankakee County, Illinois",52364,36069,"10,000 - 14,999",464,81973.0,15469.0
"Kendall County, Illinois",65674,56742,"10,000 - 14,999",484,102765.0,35623.0
"Lake County, Illinois",70689,277135,"10,000 - 14,999",3698,546551.0,237443.0
"LaSalle County, Illinois",55260,36794,"10,000 - 14,999",719,85879.0,15585.0
"McHenry County, Illinois",65322,125834,"10,000 - 14,999",1734,242611.0,81672.0
"McLean County, Illinois",66699,61513,"10,000 - 14,999",672,134874.0,56556.0
"Macon County, Illinois",52390,32573,"10,000 - 14,999",704,77974.0,16828.0
"Madison County, Illinois",57362,97908,"10,000 - 14,999",1874,208215.0,66279.0
"Peoria County, Illinois",57834,54054,"10,000 - 14,999",1033,135274.0,44855.0
"Rock Island County, Illinois",53619,48094,"10,000 - 14,999",1135,109685.0,25186.0
"St. Clair County, Illinois",56514,85584,"10,000 - 14,999",1124,194118.0,54653.0
"Sangamon County, Illinois",56948,71167,"10,000 - 14,999",1085,151879.0,54245.0
"Tazewell County, Illinois",57370,46157,"10,000 - 14,999",1689,101731.0,28354.0
"Vermilion County, Illinois",45991,21641,"10,000 - 14,999",193,55007.0,8395.0
"Will County, Illinois",66619,269473,"10,000 - 14,999",4379,537626.0,181803.0
"Williamson County, Illinois",52338,20569,"10,000 - 14,999",279,52399.0,12657.0
"Winnebago County, Illinois",50515,91697,"10,000 - 14,999",1284,215493.0,46687.0
"Allen County, Indiana",51898,140074,"10,000 - 14,999",1641,294904.0,88346.0
"Bartholomew County, Indiana",65866,32270,"10,000 - 14,999",259,64175.0,21213.0
"Boone County, Indiana",73897,,"10,000 - 14,999",,56587.0,28394.0
"Clark County, Indiana",53168,50832,"10,000 - 14,999",883,98223.0,24582.0
"Delaware County, Indiana",47768,33811,"10,000 - 14,999",696,91960.0,22526.0
"Elkhart County, Indiana",46664,70760,"10,000 - 14,999",1153,150519.0,28529.0
"Floyd County, Indiana",56449,30052,"10,000 - 14,999",301,63005.0,16874.0
"Grant County, Indiana",46370,19118,"10,000 - 14,999",229,51942.0,9755.0
"Hamilton County, Indiana",79172,154087,"10,000 - 14,999",1803,278719.0,167364.0
"Hancock County, Indiana",61919,33938,"10,000 - 14,999",568,66682.0,22179.0
"Hendricks County, Indiana",63590,73129,"10,000 - 14,999",1001,140855.0,49395.0
"Howard County, Indiana",52267,27444,"10,000 - 14,999",631,64599.0,14482.0
"Johnson County, Indiana",60441,69293,"10,000 - 14,999",906,127366.0,41626.0
"Kosciusko County, Indiana",51757,29265,"10,000 - 14,999",218,61555.0,14444.0
"Lake County, Indiana",53478,171342,"10,000 - 14,999",2521,385231.0,90559.0
"LaPorte County, Indiana",54197,35575,"10,000 - 14,999",324,88095.0,19463.0
"Madison County, Indiana",52897,43514,"10,000 - 14,999",834,104273.0,20078.0
"Marion County, Indiana",52393,372005,"10,000 - 14,999",10447,727835.0,250433.0
"Monroe County, Indiana",58360,44534,"10,000 - 14,999",521,117387.0,49865.0
"Morgan County, Indiana",60677,27342,"10,000 - 14,999",407,57456.0,11801.0
"Porter County, Indiana",57430,64220,"10,000 - 14,999",775,138290.0,37752.0
"St. Joseph County, Indiana",51203,90717,"10,000 - 14,999",1907,209731.0,62571.0
"Tippecanoe County, Indiana",52512,65225,"10,000 - 14,999",858,150646.0,51534.0
"Vanderburgh County, Indiana",51546,64355,"10,000 - 14,999",802,140743.0,34993.0
"Vigo County, Indiana",44733,34721,"10,000 - 14,999",1346,84778.0,20202.0
"Warrick County, Indiana",56098,,"10,000 - 14,999",,51399.0,18179.0
"Wayne County, Indiana",49814,20880,"10,000 - 14,999",638,51983.0,10151.0
"Black Hawk County, Iowa",51272,45204,"10,000 - 14,999",438,102339.0,27514.0
"Dallas County, Iowa",70350,47351,"10,000 - 14,999",835,81928.0,37818.0
"Dubuque County, Iowa",52487,37539,"10,000 - 14,999",664,77038.0,24950.0
"Johnson County, Iowa",59921,55279,"10,000 - 14,999",813,127303.0,57649.0
"Linn County, Iowa",59272,86551,"10,000 - 14,999",1148,177988.0,57339.0
"Polk County, Iowa",58789,206956,"10,000 - 14,999",2961,383731.0,145963.0
"Pottawattamie County, Iowa",52460,37582,"10,000 - 14,999",231,72051.0,14220.0
"Scott County, Iowa",61182,64794,"10,000 - 14,999",1497,134460.0,48472.0
"Story County, Iowa",58930,32229,"10,000 - 14,999",469,82336.0,32392.0
"Woodbury County, Iowa",52020,36396,"10,000 - 14,999",1153,79264.0,15096.0
"Butler County, Kansas",56079,25060,"10,000 - 14,999",226,51857.0,16742.0
"Douglas County, Kansas",56706,41721,"10,000 - 14,999",918,99483.0,44066.0
"Johnson County, Kansas",72282,260599,"10,000 - 14,999",3739,477859.0,257769.0
"Leavenworth County, Kansas",55310,,"10,000 - 14,999",,63838.0,21746.0
"Riley County, Kansas",42846,28978,"10,000 - 14,999",771,59993.0,20442.0
"Sedgwick County, Kansas",51331,194938,"10,000 - 14,999",4764,398376.0,116427.0
"Shawnee County, Kansas",51381,61951,"10,000 - 14,999",1456,137140.0,40599.0
"Wyandotte County, Kansas",45321,59743,"10,000 - 14,999",2194,120751.0,23423.0
"Boone County, Kentucky",64162,53234,"10,000 - 14,999",706,104953.0,36473.0
"Bullitt County, Kentucky",52696,33854,"10,000 - 14,999",851,66810.0,11840.0
"Campbell County, Kentucky",57281,38646,"10,000 - 14,999",1291,75064.0,27152.0
"Christian County, Kentucky",44485,25513,"10,000 - 14,999",253,51366.0,10283.0
"Daviess County, Kentucky",46224,37117,"10,000 - 14,999",1252,78541.0,18677.0
"Fayette County, Kentucky",55906,118763,"10,000 - 14,999",3255,253771.0,112721.0
"Hardin County, Kentucky",47655,42652,"10,000 - 14,999",507,85084.0,18755.0
"Jefferson County, Kentucky",55170,276586,"10,000 - 14,999",6108,601262.0,208335.0
"Kenton County, Kentucky",60312,67079,"10,000 - 14,999",1350,131935.0,47425.0
"McCracken County, Kentucky",52421,,"10,000 - 14,999",,52590.0,12556.0
"Madison County, Kentucky",50528,35814,"10,000 - 14,999",636,76630.0,24594.0
"Oldham County, Kentucky",75527,25802,"10,000 - 14,999",470,53195.0,22491.0
"Pulaski County, Kentucky",45837,20708,"10,000 - 14,999",464,51419.0,8674.0
"Warren County, Kentucky",46767,53554,"10,000 - 14,999",1738,108827.0,32200.0
"Ascension Parish, Louisiana",58431,52985,"10,000 - 14,999",1220,97315.0,24043.0
"Bossier Parish, Louisiana",52069,49877,"10,000 - 14,999",1556,98639.0,23462.0
"Caddo Parish, Louisiana",45914,71887,"10,000 - 14,999",3743,173611.0,44694.0
"Calcasieu Parish, Louisiana",51754,69777,"10,000 - 14,999",2425,153549.0,38517.0
"East Baton Rouge Parish, Louisiana",52032,151837,"10,000 - 14,999",6388,347618.0,112747.0
"Iberia Parish, Louisiana",46846,,"10,000 - 14,999",,51048.0,8055.0
"Jefferson Parish, Louisiana",51251,148263,"10,000 - 14,999",5365,328564.0,92438.0
"Lafayette Parish, Louisiana",49740,92512,"10,000 - 14,999",3560,189466.0,57912.0
"Lafourche Parish, Louisiana",50046,29164,"10,000 - 14,999",585,73549.0,14864.0
"Livingston Parish, Louisiana",53137,51984,"10,000 - 14,999",1181,111806.0,18468.0
"Orleans Parish, Louisiana",53667,124413,"10,000 - 14,999",3966,292963.0,120324.0
"Ouachita Parish, Louisiana",48479,51537,"10,000 - 14,999",823,119353.0,33874.0
"Rapides Parish, Louisiana",47044,40414,"10,000 - 14,999",1772,95153.0,19482.0
"St. Landry Parish, Louisiana",40468,,"10,000 - 14,999",,59757.0,8159.0
